Month,Day,Time of Day,Relative Humidity,Target Temperature
1,3,11,50,62
1,3,12,50,62
1,3,13,50,62
1,3,14,50,62
1,3,15,50,62
1,3,16,50,62
1,3,17,50,62
1,3,18,50,67
1,3,19,50,67
1,3,20,50,67
1,3,21,50,67
1,3,22,50,67
1,3,23,50,60
1,3,0,70,60
1,3,1,70,60
1,3,2,70,60
1,3,3,70,60
1,3,4,70,60
1,3,5,70,60
1,3,6,70,60
1,3,7,70,65
1,3,8,70,65
1,3,9,70,65
1,3,10,70,60
1,3,11,70,60
1,3,12,70,60
1,3,13,70,60
1,3,14,70,60
1,3,15,70,60
1,3,16,70,60
1,3,17,70,60
1,3,18,70,65
1,3,19,70,65
1,3,20,70,65
1,3,21,70,65
1,3,22,70,65
1,3,23,70,60
1,4,0,30,60
1,4,1,30,60
1,4,2,30,60
1,4,3,30,60
1,4,4,30,60
1,4,5,30,60
1,4,6,30,60
1,4,7,30,70
1,4,8,30,70
1,4,9,30,70
1,4,10,30,65
1,4,11,30,65
1,4,12,30,65
1,4,13,30,65
1,4,14,30,65
1,4,15,30,65
1,4,16,30,65
1,4,17,30,65
1,4,18,30,70
1,4,19,30,70
1,4,20,30,70
1,4,21,30,70
1,4,22,30,70
1,4,23,30,60
1,4,0,50,60
1,4,1,50,60
1,4,2,50,60
1,4,3,50,60
1,4,4,50,60
1,4,5,50,60
1,4,6,50,60
1,4,7,50,67
1,4,8,50,67
1,4,9,50,67
1,4,10,50,62
1,4,11,50,62
1,4,12,50,62
1,4,13,50,62
1,4,14,50,62
1,4,15,50,62
1,4,16,50,62
1,4,17,50,62
1,4,18,50,67
1,4,19,50,67
1,4,20,50,67
1,4,21,50,67
1,4,22,50,67
1,4,23,50,60
1,4,0,70,60
1,4,1,70,60
1,4,2,70,60
1,4,3,70,60
1,4,4,70,60
1,4,5,70,60
1,4,6,70,60
1,4,7,70,65
1,4,8,70,65
1,4,9,70,65
1,4,10,70,60
1,4,11,70,60
1,4,12,70,60
1,4,13,70,60
1,4,14,70,60
1,4,15,70,60
1,4,16,70,60
1,4,17,70,60
1,4,18,70,65
1,4,19,70,65
1,4,20,70,65
1,4,21,70,65
1,4,22,70,65
1,4,23,70,60
1,5,0,30,60
1,5,1,30,60
1,5,2,30,60
1,5,3,30,60
1,5,4,30,60
1,5,5,30,60
1,5,6,30,60
1,5,7,30,70
1,5,8,30,70
1,5,9,30,70
1,5,10,30,65
1,5,11,30,65
1,5,12,30,65
1,5,13,30,65
1,5,14,30,65
1,5,15,30,65
1,5,16,30,65
1,5,17,30,65
1,5,18,30,70
1,5,19,30,70
1,5,20,30,70
1,5,21,30,70
1,5,22,30,70
1,5,23,30,60
1,5,0,50,60
1,5,1,50,60
1,5,2,50,60
1,5,3,50,60
1,5,4,50,60
1,5,5,50,60
1,5,6,50,60
1,5,7,50,67
1,5,8,50,67
1,5,9,50,67
1,5,10,50,62
1,5,11,50,62
1,5,12,50,62
1,5,13,50,62
1,5,14,50,62
1,5,15,50,62
1,5,16,50,62
1,5,17,50,62
1,5,18,50,67
1,5,19,50,67
1,5,20,50,67
1,5,21,50,67
1,5,22,50,67
1,5,23,50,60
1,5,0,70,60
1,5,1,70,60
1,5,2,70,60
1,5,3,70,60
1,5,4,70,60
1,5,5,70,60
1,5,6,70,60
1,5,7,70,65
1,5,8,70,65
1,5,9,70,65
1,5,10,70,60
1,5,11,70,60
1,5,12,70,60
1,5,13,70,60
1,5,14,70,60
1,5,15,70,60
1,5,16,70,60
1,5,17,70,60
1,5,18,70,65
1,5,19,70,65
1,5,20,70,65
1,5,21,70,65
1,5,22,70,65
1,5,23,70,60
1,6,0,30,60
1,6,1,30,60
1,6,2,30,60
1,6,3,30,60
1,6,4,30,60
1,6,5,30,60
1,6,6,30,60
1,6,7,30,70
1,6,8,30,70
1,6,9,30,70
1,6,10,30,70
1,6,11,30,70
1,6,12,30,70
1,6,13,30,70
1,6,14,30,70
1,6,15,30,70
1,6,16,30,70
1,6,17,30,70
1,6,18,30,70
1,6,19,30,70
1,6,20,30,70
1,6,21,30,70
1,6,22,30,70
1,6,23,30,60
1,6,0,50,60
1,6,1,50,60
1,6,2,50,60
1,6,3,50,60
1,6,4,50,60
1,6,5,50,60
1,6,6,50,60
1,6,7,50,67
1,6,8,50,67
1,6,9,50,67
1,6,10,50,67
1,6,11,50,67
1,6,12,50,67
1,6,13,50,67
1,6,14,50,67
1,6,15,50,67
1,6,16,50,67
1,6,17,50,67
1,6,18,50,67
1,6,19,50,67
1,6,20,50,67
1,6,21,50,67
1,6,22,50,67
1,6,23,50,60
1,6,0,70,57
1,6,1,70,57
1,6,2,70,57
1,6,3,70,57
1,6,4,70,57
1,6,5,70,57
1,6,6,70,57
1,6,7,70,65
1,6,8,70,65
1,6,9,70,65
1,6,10,70,65
1,6,11,70,65
1,6,12,70,65
1,6,13,70,65
1,6,14,70,65
1,6,15,70,65
1,6,16,70,65
1,6,17,70,65
1,6,18,70,65
1,6,19,70,65
1,6,20,70,65
1,6,21,70,65
1,6,22,70,65
1,6,23,70,57
